Year_Month,Topic,Words
00202.,10,"0.046*""demand"" + 0.046*""productivity"" + 0.046*""exceed"" + 0.039*""related"" + 0.039*""today"" + 0.038*""policy"" + 0.023*""release"" + 0.007*""heightened"" + 0.007*""federal"" + 0.007*""undermine"""
00202.,11,"0.062*""basis"" + 0.055*""adjustment"" + 0.055*""city"" + 0.048*""sustainable"" + 0.048*""information"" + 0.048*""inflation"" + 0.041*""account"" + 0.006*""pronounced"" + 0.006*""risk"" + 0.006*""reserve"""
00202.,12,"0.052*""york"" + 0.052*""district"" + 0.052*""charged"" + 0.052*""institution"" + 0.046*""price"" + 0.046*""generate"" + 0.039*""rise"" + 0.032*""last"" + 0.032*""update"" + 0.006*""credit"""
00202.,13,"0.089*""economic"" + 0.074*""increase"" + 0.052*""belief"" + 0.044*""imbalance"" + 0.037*""target"" + 0.007*""atlanta"" + 0.007*""rate"" + 0.007*""action"" + 0.007*""update"" + 0.007*""basis"""
00202.,14,"0.138*""reserve"" + 0.050*""shortterm"" + 0.050*""louis"" + 0.044*""mainly"" + 0.037*""continue"" + 0.037*""even"" + 0.037*""concerned"" + 0.031*""open"" + 0.006*""request"" + 0.006*""imbalance"""
00321.,0,"0.195*""rate"" + 0.052*""depository"" + 0.052*""richmond"" + 0.038*""potential"" + 0.032*""market"" + 0.032*""accessibility"" + 0.006*""bank"" + 0.006*""director"" + 0.006*""basis"" + 0.006*""approved"""
00321.,1,"0.162*""federal"" + 0.065*""approved"" + 0.048*""percent"" + 0.043*""minneapolis"" + 0.037*""information"" + 0.037*""weighted"" + 0.037*""currently"" + 0.032*""supply"" + 0.027*""voted"" + 0.027*""march"""
00321.,2,"0.059*""director"" + 0.051*""heightened"" + 0.051*""toward"" + 0.044*""concerned"" + 0.044*""february"" + 0.036*""governor"" + 0.036*""last"" + 0.007*""record"" + 0.007*""minneapolis"" + 0.007*""kansa"""
00321.,3,"0.119*""board"" + 0.100*""economic"" + 0.050*""adjustment"" + 0.050*""district"" + 0.037*""met"" + 0.037*""inflationary"" + 0.031*""event"" + 0.006*""reserve"" + 0.006*""background"" + 0.006*""economy"""
00321.,4,"0.170*""committee"" + 0.078*""bank"" + 0.052*""san"" + 0.052*""kansa"" + 0.039*""consideration"" + 0.006*""federal"" + 0.006*""board"" + 0.006*""st"" + 0.006*""raise"" + 0.006*""goal"""
00321.,5,"0.062*""basis"" + 0.055*""york"" + 0.055*""taking"" + 0.055*""st"" + 0.048*""may"" + 0.048*""sustainable"" + 0.041*""record"" + 0.006*""federal"" + 0.006*""committee"" + 0.006*""condition"""
00321.,6,"0.061*""new"" + 0.053*""pressure"" + 0.045*""would"" + 0.045*""exceed"" + 0.038*""monetary"" + 0.038*""update"" + 0.022*""immediate"" + 0.007*""board"" + 0.007*""discount"" + 0.007*""related"""
00321.,7,"0.073*""condition"" + 0.073*""growth"" + 0.049*""charged"" + 0.049*""francisco"" + 0.049*""request"" + 0.049*""borrow"" + 0.043*""foreseeable"" + 0.036*""continue"" + 0.030*""policy"" + 0.006*""committee"""
00321.,8,"0.052*""atlanta"" + 0.045*""mainly"" + 0.045*""price"" + 0.045*""future"" + 0.045*""available"" + 0.045*""inflation"" + 0.039*""foster"" + 0.038*""addressed"" + 0.032*""home"" + 0.032*""today"""
00321.,9,"0.068*""point"" + 0.060*""submitted"" + 0.053*""belief"" + 0.045*""could"" + 0.037*""raise"" + 0.037*""related"" + 0.007*""board"" + 0.007*""borrow"" + 0.007*""st"" + 0.007*""condition"""
00321.,10,"0.077*""action"" + 0.051*""cleveland"" + 0.051*""credit"" + 0.045*""generate"" + 0.045*""risk"" + 0.045*""goal"" + 0.038*""expansion"" + 0.038*""essentially"" + 0.032*""news"" + 0.006*""toward"""
00321.,11,"0.065*""louis"" + 0.065*""institution"" + 0.049*""demand"" + 0.040*""open"" + 0.016*""bankseconomic"" + 0.008*""continue"" + 0.008*""inflation"" + 0.007*""action"" + 0.007*""reserve"" + 0.007*""longrun"""
00321.,12,"0.057*""chicago"" + 0.057*""shortterm"" + 0.057*""city"" + 0.050*""stability"" + 0.049*""background"" + 0.042*""undermine"" + 0.035*""fund"" + 0.007*""bank"" + 0.007*""committee"" + 0.007*""growth"""
00321.,13,"0.136*""reserve"" + 0.117*""discount"" + 0.061*""increase"" + 0.043*""longrun"" + 0.037*""remains"" + 0.037*""imbalance"" + 0.006*""goal"" + 0.006*""immediate"" + 0.006*""institution"" + 0.006*""economic"""
00321.,14,"0.065*""philadelphia"" + 0.065*""boston"" + 0.048*""economy"" + 0.040*""target"" + 0.024*""release"" + 0.007*""submitted"" + 0.007*""increase"" + 0.007*""federal"" + 0.007*""belief"" + 0.007*""charged"""
00516.,0,"0.070*""submitted"" + 0.061*""belief"" + 0.052*""would"" + 0.043*""raise"" + 0.008*""economic"" + 0.008*""board"" + 0.008*""supply"" + 0.008*""may"" + 0.008*""bank"" + 0.008*""market"""
00516.,1,"0.176*""rate"" + 0.129*""reserve"" + 0.093*""committee"" + 0.046*""shortterm"" + 0.041*""weighted"" + 0.011*""banksincreases"" + 0.005*""continued"" + 0.005*""board"" + 0.005*""raise"" + 0.005*""may"""
00516.,2,"0.060*""request"" + 0.060*""adjustment"" + 0.060*""charged"" + 0.053*""future"" + 0.045*""disparity"" + 0.037*""event"" + 0.037*""market"" + 0.007*""reserve"" + 0.007*""even"" + 0.007*""fund"""
00516.,3,"0.055*""background"" + 0.055*""generate"" + 0.055*""economic"" + 0.047*""imbalance"" + 0.039*""accessibility"" + 0.039*""today"" + 0.023*""immediate"" + 0.015*""banksagainst"" + 0.008*""taking"" + 0.007*""would"""
00516.,4,"0.074*""basis"" + 0.066*""district"" + 0.049*""undermine"" + 0.049*""productivitydriven"" + 0.041*""update"" + 0.008*""approved"" + 0.008*""generate"" + 0.008*""rate"" + 0.008*""charged"" + 0.008*""committee"""
00516.,5,"0.089*""bank"" + 0.089*""approved"" + 0.051*""price"" + 0.051*""foreseeable"" + 0.044*""rapid"" + 0.037*""monetary"" + 0.007*""federal"" + 0.007*""director"" + 0.007*""potential"" + 0.007*""heightened"""
00516.,6,"0.083*""action"" + 0.076*""supply"" + 0.055*""san"" + 0.048*""condition"" + 0.041*""could"" + 0.041*""remained"" + 0.041*""economy"" + 0.034*""related"" + 0.006*""discount"" + 0.006*""point"""
00516.,7,"0.080*""potential"" + 0.065*""percent"" + 0.058*""depository"" + 0.051*""available"" + 0.051*""heightened"" + 0.036*""policy"" + 0.036*""home"" + 0.007*""goal"" + 0.007*""committee"" + 0.007*""rate"""
00516.,8,"0.127*""discount"" + 0.080*""pressure"" + 0.060*""point"" + 0.046*""inflation"" + 0.046*""information"" + 0.040*""even"" + 0.033*""target"" + 0.006*""fund"" + 0.006*""economic"" + 0.006*""future"""
00516.,9,"0.098*""growth"" + 0.074*""increase"" + 0.065*""cleveland"" + 0.040*""fund"" + 0.007*""board"" + 0.007*""approved"" + 0.007*""submitted"" + 0.007*""remained"" + 0.007*""bank"" + 0.007*""longterm"""
00516.,10,"0.077*""may"" + 0.056*""richmond"" + 0.049*""stability"" + 0.048*""goal"" + 0.042*""excess"" + 0.042*""gain"" + 0.042*""performance"" + 0.042*""outstanding"" + 0.020*""release"" + 0.006*""inflationary"""
00516.,11,"0.059*""borrow"" + 0.051*""mainly"" + 0.051*""sustainable"" + 0.051*""already"" + 0.044*""concerned"" + 0.044*""exerting"" + 0.044*""continued"" + 0.036*""news"" + 0.007*""boston"" + 0.007*""discount"""
00516.,12,"0.190*""federal"" + 0.050*""taking"" + 0.044*""longterm"" + 0.044*""risk"" + 0.038*""continue"" + 0.038*""resource"" + 0.031*""voted"" + 0.031*""last"" + 0.006*""productivitydriven"" + 0.006*""growth"""
00516.,13,"0.061*""credit"" + 0.061*""francisco"" + 0.053*""toward"" + 0.045*""foster"" + 0.045*""inflationary"" + 0.038*""open"" + 0.038*""governor"" + 0.015*""banksin"" + 0.007*""background"" + 0.007*""event"""
00516.,14,"0.130*""board"" + 0.075*""demand"" + 0.054*""institution"" + 0.054*""boston"" + 0.054*""director"" + 0.041*""pace"" + 0.006*""discount"" + 0.006*""risk"" + 0.006*""outstanding"" + 0.006*""foster"""
00628.,0,"0.068*""stability"" + 0.068*""weighted"" + 0.060*""utilization"" + 0.051*""closer"" + 0.042*""meeting"" + 0.008*""economic"" + 0.008*""keeping"" + 0.008*""open"" + 0.008*""rising"" + 0.008*""accessibility"""
00628.,1,"0.103*""pressure"" + 0.063*""circumstance"" + 0.055*""sign"" + 0.055*""remains"" + 0.039*""home"" + 0.039*""last"" + 0.007*""pace"" + 0.007*""committee"" + 0.007*""foreseeable"" + 0.007*""utilization"""
00628.,2,"0.127*""growth"" + 0.080*""pace"" + 0.053*""inflation"" + 0.053*""belief"" + 0.040*""cost"" + 0.040*""economy"" + 0.040*""core"" + 0.033*""stance"" + 0.006*""containing"" + 0.006*""policy"""
00628.,3,"0.067*""still"" + 0.058*""continuing"" + 0.058*""produce"" + 0.009*""belief"" + 0.009*""sustainable"" + 0.009*""toward"" + 0.009*""pressure"" + 0.009*""heightened"" + 0.009*""remains"" + 0.009*""weighted"""
00628.,4,"0.074*""rate"" + 0.067*""federal"" + 0.059*""continue"" + 0.059*""condition"" + 0.059*""mainly"" + 0.044*""measure"" + 0.037*""news"" + 0.007*""june"" + 0.007*""demand"" + 0.007*""rapid"""
00628.,5,"0.109*""toward"" + 0.050*""advance"" + 0.050*""holding"" + 0.041*""decided"" + 0.041*""fund"" + 0.024*""release"" + 0.008*""rising"" + 0.008*""price"" + 0.008*""stability"" + 0.008*""update"""
00628.,6,"0.069*""heightened"" + 0.069*""background"" + 0.052*""rapid"" + 0.052*""containing"" + 0.043*""keeping"" + 0.008*""pressure"" + 0.008*""available"" + 0.008*""rate"" + 0.008*""home"" + 0.008*""suggest"""
00628.,7,"0.065*""currently"" + 0.065*""longterm"" + 0.057*""worker"" + 0.049*""suggest"" + 0.040*""open"" + 0.040*""maintain"" + 0.024*""immediate"" + 0.007*""condition"" + 0.007*""holding"" + 0.007*""belief"""
00628.,8,"0.063*""information"" + 0.055*""pool"" + 0.055*""tentative"" + 0.055*""unusually"" + 0.047*""aggregate"" + 0.039*""today"" + 0.039*""percent"" + 0.007*""price"" + 0.007*""rising"" + 0.007*""maintain"""
00628.,9,"0.098*""may"" + 0.068*""policy"" + 0.052*""moving"" + 0.045*""slightly"" + 0.045*""although"" + 0.045*""year"" + 0.037*""update"" + 0.007*""core"" + 0.007*""unusually"" + 0.007*""price"""
00628.,10,"0.115*""available"" + 0.066*""economic"" + 0.049*""expansion"" + 0.041*""recent"" + 0.041*""target"" + 0.016*""futurenonetheless"" + 0.008*""risk"" + 0.008*""holding"" + 0.008*""demand"" + 0.008*""utilization"""
00628.,11,"0.102*""committee"" + 0.051*""potential"" + 0.051*""moderating"" + 0.051*""rising"" + 0.042*""accessibility"" + 0.008*""maintain"" + 0.008*""policy"" + 0.008*""monetary"" + 0.008*""stability"" + 0.008*""information"""
00628.,12,"0.128*""price"" + 0.057*""generate"" + 0.057*""foreseeable"" + 0.049*""level"" + 0.042*""ago"" + 0.042*""underlying"" + 0.035*""existing"" + 0.014*""futurerecent"" + 0.014*""futurein"" + 0.006*""accessibility"""
00628.,13,"0.061*""monetary"" + 0.054*""goal"" + 0.047*""preliminary"" + 0.047*""high"" + 0.041*""data"" + 0.041*""faster"" + 0.041*""productivity"" + 0.041*""nonetheless"" + 0.034*""future"" + 0.034*""market"""
00628.,14,"0.114*""sustainable"" + 0.098*""demand"" + 0.065*""risk"" + 0.040*""june"" + 0.007*""underlying"" + 0.007*""nonetheless"" + 0.007*""information"" + 0.007*""level"" + 0.007*""may"" + 0.007*""sign"""
00822.,0,"0.142*""committee"" + 0.118*""rate"" + 0.063*""generate"" + 0.039*""stance"" + 0.039*""open"" + 0.007*""target"" + 0.007*""news"" + 0.007*""demand"" + 0.007*""indicated"" + 0.007*""toward"""
00822.,1,"0.071*""federal"" + 0.063*""currently"" + 0.063*""information"" + 0.063*""sustainable"" + 0.055*""utilization"" + 0.055*""continuing"" + 0.039*""meeting"" + 0.007*""aggregate"" + 0.007*""news"" + 0.007*""pressure"""
00822.,2,"0.086*""monetary"" + 0.067*""supply"" + 0.057*""cost"" + 0.047*""market"" + 0.009*""economy"" + 0.009*""potential"" + 0.009*""containing"" + 0.009*""rate"" + 0.009*""also"" + 0.009*""productivity"""
00822.,3,"0.093*""demand"" + 0.069*""policy"" + 0.062*""heightened"" + 0.062*""foreseeable"" + 0.046*""produce"" + 0.046*""economy"" + 0.038*""today"" + 0.015*""futurerecent"" + 0.007*""future"" + 0.007*""open"""
00822.,4,"0.110*""toward"" + 0.059*""unusually"" + 0.050*""well"" + 0.050*""productivity"" + 0.050*""expansion"" + 0.042*""accessibility"" + 0.008*""nonetheless"" + 0.008*""information"" + 0.008*""available"" + 0.008*""currently"""
00822.,5,"0.093*""indicated"" + 0.067*""may"" + 0.059*""time"" + 0.059*""level"" + 0.042*""last"" + 0.042*""recent"" + 0.008*""price"" + 0.008*""immediate"" + 0.008*""future"" + 0.008*""stability"""
00822.,6,"0.112*""price"" + 0.069*""goal"" + 0.051*""also"" + 0.051*""advance"" + 0.043*""maintain"" + 0.025*""release"" + 0.008*""weighted"" + 0.008*""risk"" + 0.008*""growth"" + 0.008*""data"""
00822.,7,"0.119*""available"" + 0.059*""pool"" + 0.050*""pace"" + 0.050*""raising"" + 0.042*""percent"" + 0.042*""news"" + 0.008*""belief"" + 0.008*""monetary"" + 0.008*""pressure"" + 0.008*""unusually"""
00822.,8,"0.069*""belief"" + 0.069*""stability"" + 0.060*""high"" + 0.051*""holding"" + 0.043*""existing"" + 0.042*""future"" + 0.025*""immediate"" + 0.008*""recent"" + 0.008*""update"" + 0.008*""mainly"""
00822.,9,"0.107*""risk"" + 0.084*""data"" + 0.061*""background"" + 0.061*""weighted"" + 0.045*""underlying"" + 0.038*""fund"" + 0.038*""update"" + 0.007*""rate"" + 0.007*""may"" + 0.007*""raising"""
00822.,10,"0.199*""growth"" + 0.066*""condition"" + 0.057*""worker"" + 0.041*""decided"" + 0.008*""toward"" + 0.008*""level"" + 0.008*""meeting"" + 0.008*""demand"" + 0.008*""potential"" + 0.008*""price"""
00822.,11,"0.111*""pressure"" + 0.068*""mainly"" + 0.068*""inflation"" + 0.051*""moderating"" + 0.051*""nonetheless"" + 0.008*""longterm"" + 0.008*""indicated"" + 0.008*""currently"" + 0.008*""potential"" + 0.008*""high"""
00822.,12,"0.064*""longterm"" + 0.064*""economic"" + 0.056*""concerned"" + 0.048*""closer"" + 0.048*""containing"" + 0.040*""keeping"" + 0.040*""august"" + 0.040*""event"" + 0.015*""futurenonetheless"" + 0.007*""committee"""
00822.,13,"0.145*""potential"" + 0.068*""continue"" + 0.051*""aggregate"" + 0.042*""home"" + 0.042*""target"" + 0.008*""policy"" + 0.008*""release"" + 0.008*""heightened"" + 0.008*""foreseeable"" + 0.008*""federal"""
00822.,14,"0.124*""remains"" + 0.066*""gap"" + 0.057*""rapid"" + 0.018*""futureagainst"" + 0.009*""potential"" + 0.009*""data"" + 0.009*""available"" + 0.009*""level"" + 0.009*""recent"" + 0.009*""belief"""
01003.,0,"0.135*""growth"" + 0.049*""high"" + 0.049*""behavior"" + 0.049*""energy"" + 0.042*""hold"" + 0.042*""rapid"" + 0.007*""information"" + 0.007*""level"" + 0.006*""contributed"" + 0.006*""moderated"""
01003.,1,"0.056*""weighted"" + 0.056*""may"" + 0.049*""increase"" + 0.049*""remains"" + 0.042*""closer"" + 0.035*""keeping"" + 0.035*""future"" + 0.035*""percent"" + 0.035*""fund"" + 0.006*""home"""
01003.,2,"0.079*""rate"" + 0.047*""underlying"" + 0.047*""however"" + 0.047*""economy"" + 0.039*""maintain"" + 0.039*""target"" + 0.007*""remains"" + 0.007*""toward"" + 0.007*""date"" + 0.007*""contain"""
01003.,3,"0.108*""inflation"" + 0.092*""committee"" + 0.054*""pool"" + 0.046*""moderated"" + 0.007*""expectation"" + 0.007*""also"" + 0.007*""growth"" + 0.007*""contributed"" + 0.007*""currently"" + 0.007*""economy"""
01003.,4,"0.087*""expectation"" + 0.053*""generate"" + 0.040*""indicated"" + 0.040*""potential"" + 0.040*""advance"" + 0.040*""aggregate"" + 0.033*""accessibility"" + 0.033*""news"" + 0.033*""stance"" + 0.033*""home"""
01003.,5,"0.058*""economic"" + 0.050*""environment"" + 0.050*""contributed"" + 0.050*""far"" + 0.043*""productivity"" + 0.043*""expansion"" + 0.036*""open"" + 0.036*""event"" + 0.007*""may"" + 0.007*""pressure"""
01003.,6,"0.086*""continue"" + 0.052*""goal"" + 0.046*""subdued"" + 0.046*""pose"" + 0.046*""effect"" + 0.046*""conducive"" + 0.039*""demand"" + 0.039*""also"" + 0.032*""october"" + 0.006*""may"""
01003.,7,"0.054*""stability"" + 0.054*""longterm"" + 0.047*""importantly"" + 0.047*""measure"" + 0.047*""raising"" + 0.040*""produce"" + 0.040*""pace"" + 0.034*""existing"" + 0.034*""recent"" + 0.020*""immediate"""
01003.,8,"0.158*""price"" + 0.088*""risk"" + 0.056*""monetary"" + 0.050*""heightened"" + 0.044*""though"" + 0.044*""worker"" + 0.006*""help"" + 0.006*""continue"" + 0.006*""release"" + 0.006*""subdued"""
01003.,9,"0.060*""utilization"" + 0.060*""level"" + 0.051*""cost"" + 0.051*""help"" + 0.008*""update"" + 0.008*""currently"" + 0.008*""pace"" + 0.008*""policy"" + 0.008*""condition"" + 0.008*""heightened"""
01003.,10,"0.106*""sustainable"" + 0.060*""toward"" + 0.060*""currently"" + 0.052*""maintaining"" + 0.045*""contain"" + 0.007*""price"" + 0.007*""percent"" + 0.007*""weighted"" + 0.007*""aggregate"" + 0.007*""rapid"""
01003.,11,"0.066*""federal"" + 0.059*""condition"" + 0.059*""information"" + 0.044*""enhanced"" + 0.044*""data"" + 0.037*""meeting"" + 0.037*""today"" + 0.007*""fund"" + 0.007*""growth"" + 0.007*""continue"""
01003.,12,"0.059*""mainly"" + 0.059*""belief"" + 0.051*""core"" + 0.051*""maximum"" + 0.051*""unusually"" + 0.051*""date"" + 0.022*""release"" + 0.014*""futurerecent"" + 0.007*""federal"" + 0.007*""far"""
01003.,13,"0.106*""available"" + 0.068*""policy"" + 0.060*""background"" + 0.038*""market"" + 0.037*""last"" + 0.015*""futurehowever"" + 0.007*""economic"" + 0.007*""mainly"" + 0.007*""sustainable"" + 0.007*""currently"""
01003.,14,"0.102*""pressure"" + 0.054*""limited"" + 0.054*""moreover"" + 0.039*""decided"" + 0.039*""update"" + 0.015*""futureagainst"" + 0.007*""help"" + 0.007*""background"" + 0.007*""produce"" + 0.007*""continue"""
01115.,0,"0.051*""sufficient"" + 0.051*""sustainable"" + 0.051*""stability"" + 0.044*""suggest"" + 0.044*""limited"" + 0.044*""remains"" + 0.044*""potential"" + 0.036*""future"" + 0.036*""meeting"" + 0.007*""month"""
01115.,1,"0.094*""available"" + 0.094*""risk"" + 0.047*""raising"" + 0.047*""increase"" + 0.047*""financial"" + 0.007*""unusually"" + 0.007*""growth"" + 0.007*""sustainable"" + 0.007*""rate"" + 0.007*""business"""
01115.,2,"0.112*""inflation"" + 0.079*""condition"" + 0.059*""federal"" + 0.046*""easing"" + 0.039*""economy"" + 0.039*""energy"" + 0.039*""see"" + 0.039*""business"" + 0.006*""market"" + 0.006*""risk"""
01115.,3,"0.102*""date"" + 0.051*""accordingly"" + 0.051*""though"" + 0.042*""event"" + 0.025*""release"" + 0.008*""immediate"" + 0.008*""judgment"" + 0.008*""generate"" + 0.008*""core"" + 0.008*""pressure"""
01115.,4,"0.094*""demand"" + 0.047*""time"" + 0.047*""household"" + 0.039*""fund"" + 0.039*""decided"" + 0.039*""november"" + 0.039*""last"" + 0.007*""committee"" + 0.007*""rate"" + 0.007*""mainly"""
01115.,5,"0.071*""policy"" + 0.055*""weighted"" + 0.055*""economic"" + 0.047*""expectation"" + 0.047*""recent"" + 0.047*""level"" + 0.023*""immediate"" + 0.007*""stance"" + 0.007*""condition"" + 0.007*""available"""
01115.,6,"0.053*""foreseeable"" + 0.053*""judgment"" + 0.053*""change"" + 0.045*""possibility"" + 0.045*""softening"" + 0.045*""continues"" + 0.037*""news"" + 0.037*""accessibility"" + 0.014*""futurenonetheless"" + 0.007*""today"""
01115.,7,"0.116*""price"" + 0.048*""longrun"" + 0.041*""utilization"" + 0.041*""produce"" + 0.041*""still"" + 0.041*""tightening"" + 0.041*""effect"" + 0.041*""could"" + 0.034*""today"" + 0.006*""warrant"""
01115.,8,"0.084*""growth"" + 0.084*""heightened"" + 0.049*""continue"" + 0.049*""mainly"" + 0.049*""currently"" + 0.049*""information"" + 0.042*""however"" + 0.013*""futurethe"" + 0.006*""demand"" + 0.006*""pool"""
01115.,9,"0.081*""rate"" + 0.073*""monetary"" + 0.056*""may"" + 0.048*""high"" + 0.048*""measure"" + 0.007*""accessibility"" + 0.007*""potential"" + 0.007*""currently"" + 0.007*""policy"" + 0.007*""harbor"""
01115.,10,"0.130*""pressure"" + 0.116*""committee"" + 0.050*""toward"" + 0.043*""unusually"" + 0.043*""productivityenhanced"" + 0.007*""inflation"" + 0.007*""date"" + 0.007*""heightened"" + 0.007*""background"" + 0.007*""tightening"""
01115.,11,"0.085*""market"" + 0.059*""background"" + 0.042*""update"" + 0.042*""target"" + 0.042*""open"" + 0.008*""change"" + 0.008*""worker"" + 0.008*""pace"" + 0.008*""risk"" + 0.008*""last"""
01115.,12,"0.059*""generate"" + 0.051*""worker"" + 0.042*""keeping"" + 0.042*""maintain"" + 0.042*""existing"" + 0.042*""stance"" + 0.008*""price"" + 0.008*""productivityenhanced"" + 0.008*""core"" + 0.008*""heightened"""
01115.,13,"0.055*""expand"" + 0.055*""pool"" + 0.054*""harbor"" + 0.045*""home"" + 0.008*""monetary"" + 0.008*""pressure"" + 0.008*""risk"" + 0.008*""information"" + 0.008*""increase"" + 0.008*""limited"""
01115.,14,"0.055*""goal"" + 0.055*""warrant"" + 0.047*""nonetheless"" + 0.047*""month"" + 0.047*""pace"" + 0.047*""core"" + 0.039*""percent"" + 0.007*""level"" + 0.007*""heightened"" + 0.007*""available"""
01219.,0,"0.133*""committee"" + 0.075*""federal"" + 0.049*""cost"" + 0.049*""shortfall"" + 0.041*""event"" + 0.041*""existing"" + 0.008*""meeting"" + 0.008*""evolving"" + 0.008*""report"" + 0.008*""background"""
01219.,1,"0.063*""stability"" + 0.062*""information"" + 0.053*""increased"" + 0.053*""stress"" + 0.053*""well"" + 0.044*""today"" + 0.017*""futureagainst"" + 0.008*""weighted"" + 0.008*""continue"" + 0.008*""consumer"""
01219.,2,"0.058*""price"" + 0.049*""absence"" + 0.049*""closely"" + 0.049*""persist"" + 0.049*""drag"" + 0.049*""evolving"" + 0.049*""monitor"" + 0.041*""december"" + 0.016*""futurethe"" + 0.008*""future"""
01219.,3,"0.096*""inflation"" + 0.078*""policy"" + 0.061*""currently"" + 0.052*""financial"" + 0.043*""news"" + 0.026*""immediate"" + 0.008*""may"" + 0.008*""situation"" + 0.008*""shortfall"" + 0.008*""sale"""
01219.,4,"0.080*""market"" + 0.048*""earnings"" + 0.048*""longerterm"" + 0.048*""segment"" + 0.048*""expectation"" + 0.040*""open"" + 0.040*""stance"" + 0.040*""fund"" + 0.040*""meeting"" + 0.007*""economic"""
01219.,5,"0.104*""growth"" + 0.060*""goal"" + 0.052*""demand"" + 0.052*""report"" + 0.052*""energy"" + 0.043*""keeping"" + 0.008*""situation"" + 0.008*""monitor"" + 0.008*""information"" + 0.008*""consequently"""
01219.,6,"0.059*""toward"" + 0.059*""consequently"" + 0.059*""belief"" + 0.051*""profit"" + 0.051*""indication"" + 0.051*""rising"" + 0.051*""consumer"" + 0.008*""committee"" + 0.008*""weakness"" + 0.008*""drag"""
01219.,7,"0.072*""weakness"" + 0.072*""background"" + 0.062*""eroding"" + 0.010*""foreseeable"" + 0.010*""price"" + 0.010*""pace"" + 0.010*""federal"" + 0.009*""available"" + 0.009*""earnings"" + 0.009*""energy"""
01219.,8,"0.078*""generate"" + 0.055*""accessibility"" + 0.010*""available"" + 0.010*""economic"" + 0.010*""condition"" + 0.010*""percent"" + 0.010*""evolving"" + 0.010*""risk"" + 0.010*""weighted"" + 0.010*""closely"""
01219.,9,"0.069*""longrun"" + 0.069*""weighted"" + 0.059*""sale"" + 0.049*""future"" + 0.009*""situation"" + 0.009*""maintain"" + 0.009*""monetary"" + 0.009*""economic"" + 0.009*""inflation"" + 0.009*""target"""
01219.,10,"0.234*""economic"" + 0.049*""suggest"" + 0.049*""confidence"" + 0.041*""home"" + 0.008*""generate"" + 0.008*""diminished"" + 0.008*""immediate"" + 0.008*""growth"" + 0.008*""committee"" + 0.008*""segment"""
01219.,11,"0.073*""mainly"" + 0.073*""condition"" + 0.052*""rate"" + 0.010*""confidence"" + 0.010*""market"" + 0.010*""belief"" + 0.010*""rising"" + 0.010*""meeting"" + 0.010*""sustainable"" + 0.010*""inflation"""
01219.,12,"0.105*""may"" + 0.052*""slowing"" + 0.052*""pace"" + 0.052*""continue"" + 0.052*""diminished"" + 0.043*""update"" + 0.008*""economic"" + 0.008*""growth"" + 0.008*""maintain"" + 0.008*""demand"""
