Year_Month,Topic,Words
200603,0,"0.043*""market"" + 0.015*""act"" + 0.013*""reserve"" + 0.010*""standard"" + 0.009*""way"" + 0.008*""first"" + 0.007*""account"" + 0.007*""development"" + 0.007*""expanded"" + 0.007*""service"""
200603,1,"0.034*""risk"" + 0.017*""time"" + 0.013*""policymakers"" + 0.009*""level"" + 0.008*""liquidity"" + 0.006*""made"" + 0.006*""community"" + 0.005*""good"" + 0.005*""operational"" + 0.005*""boom"""
200603,2,"0.035*""banking"" + 0.015*""u"" + 0.012*""economy"" + 0.011*""one"" + 0.011*""regulation"" + 0.009*""even"" + 0.008*""framework"" + 0.007*""return"" + 0.006*""still"" + 0.006*""agency"""
200603,3,"0.024*""basel"" + 0.013*""many"" + 0.008*""innovation"" + 0.007*""separation"" + 0.007*""important"" + 0.007*""case"" + 0.006*""allowed"" + 0.005*""house"" + 0.005*""rule"" + 0.005*""clear"""
200603,4,"0.023*""capital"" + 0.010*""issue"" + 0.010*""future"" + 0.009*""business"" + 0.008*""commerce"" + 0.007*""better"" + 0.007*""accounting"" + 0.006*""period"" + 0.006*""foreign"" + 0.006*""longterm"""
200603,5,"0.093*""bank"" + 0.017*""security"" + 0.016*""insurance"" + 0.015*""interest"" + 0.011*""continue"" + 0.010*""money"" + 0.006*""strategy"" + 0.006*""united"" + 0.006*""process"" + 0.005*""consumer"""
200603,6,"0.021*""institution"" + 0.020*""federal"" + 0.014*""economic"" + 0.014*""bubble"" + 0.012*""extra"" + 0.011*""company"" + 0.010*""management"" + 0.009*""recent"" + 0.008*""investment"" + 0.008*""marketplace"""
200603,7,"0.033*""price"" + 0.018*""may"" + 0.014*""monetary"" + 0.008*""deposit"" + 0.008*""special"" + 0.006*""state"" + 0.006*""firm"" + 0.006*""payment"" + 0.006*""provide"" + 0.005*""type"""
200603,8,"0.016*""year"" + 0.014*""change"" + 0.012*""asset"" + 0.009*""system"" + 0.007*""holding"" + 0.006*""approach"" + 0.006*""speculative"" + 0.006*""might"" + 0.005*""stock"" + 0.005*""early"""
200603,9,"0.027*""policy"" + 0.017*""action"" + 0.015*""ii"" + 0.012*""central"" + 0.011*""international"" + 0.010*""role"" + 0.008*""supervisor"" + 0.007*""line"" + 0.006*""expected"" + 0.005*""condition"""
200603,10,"0.017*""industry"" + 0.010*""energy"" + 0.009*""yield"" + 0.008*""stability"" + 0.008*""effort"" + 0.008*""well"" + 0.006*""thrift"" + 0.006*""decline"" + 0.006*""see"" + 0.006*""fundamental"""
200603,11,"0.029*""would"" + 0.008*""banker"" + 0.008*""however"" + 0.008*""need"" + 0.008*""result"" + 0.007*""congress"" + 0.006*""share"" + 0.005*""loan"" + 0.005*""including"" + 0.005*""factor"""
200603,12,"0.018*""new"" + 0.016*""product"" + 0.010*""example"" + 0.008*""regulatory"" + 0.007*""corrigan"" + 0.006*""since"" + 0.006*""improved"" + 0.006*""evidence"" + 0.006*""dollar"" + 0.005*""possible"""
200603,13,"0.021*""activity"" + 0.019*""also"" + 0.011*""real"" + 0.011*""growth"" + 0.009*""authority"" + 0.007*""point"" + 0.007*""question"" + 0.007*""low"" + 0.006*""potential"" + 0.006*""appropriate"""
200603,14,"0.041*""financial"" + 0.027*""rate"" + 0.015*""inflation"" + 0.014*""fund"" + 0.013*""could"" + 0.012*""effect"" + 0.011*""term"" + 0.009*""response"" + 0.008*""significant"" + 0.008*""public"""
200604,0,"0.035*""year"" + 0.019*""spending"" + 0.016*""level"" + 0.012*""effect"" + 0.009*""compliance"" + 0.008*""control"" + 0.008*""firm"" + 0.007*""thus"" + 0.007*""consistent"" + 0.006*""interest"""
200604,1,"0.019*""management"" + 0.010*""local"" + 0.010*""outlook"" + 0.009*""development"" + 0.009*""number"" + 0.008*""little"" + 0.007*""clearing"" + 0.007*""analysis"" + 0.006*""meeting"" + 0.005*""balance"""
200604,2,"0.019*""rate"" + 0.014*""real"" + 0.012*""stability"" + 0.012*""member"" + 0.010*""additional"" + 0.007*""utilization"" + 0.006*""evidence"" + 0.005*""still"" + 0.005*""labor"" + 0.005*""including"""
200604,3,"0.039*""economic"" + 0.031*""inflation"" + 0.024*""activity"" + 0.023*""business"" + 0.008*""service"" + 0.008*""income"" + 0.007*""construction"" + 0.007*""need"" + 0.006*""bit"" + 0.005*""order"""
200604,4,"0.010*""good"" + 0.009*""first"" + 0.009*""industry"" + 0.008*""regulation"" + 0.008*""resource"" + 0.008*""text"" + 0.007*""employment"" + 0.007*""march"" + 0.006*""term"" + 0.005*""example"""
200604,5,"0.023*""banking"" + 0.019*""organization"" + 0.012*""core"" + 0.011*""cost"" + 0.009*""last"" + 0.009*""pace"" + 0.007*""pressure"" + 0.007*""much"" + 0.007*""supply"" + 0.006*""ccps"""
200604,6,"0.044*""risk"" + 0.026*""state"" + 0.018*""change"" + 0.013*""fund"" + 0.010*""although"" + 0.009*""another"" + 0.009*""strahan"" + 0.008*""demand"" + 0.007*""indicator"" + 0.006*""community"""
200604,7,"0.028*""price"" + 0.018*""investment"" + 0.015*""energy"" + 0.012*""institution"" + 0.012*""united"" + 0.010*""consumer"" + 0.009*""information"" + 0.008*""expectation"" + 0.007*""ccp"" + 0.007*""survey"""
200604,8,"0.021*""capital"" + 0.013*""system"" + 0.013*""may"" + 0.010*""likely"" + 0.009*""solid"" + 0.009*""geographic"" + 0.006*""unemployment"" + 0.006*""restriction"" + 0.005*""force"" + 0.005*""sale"""
200604,9,"0.039*""bank"" + 0.012*""past"" + 0.011*""policy"" + 0.010*""low"" + 0.009*""security"" + 0.008*""factor"" + 0.008*""product"" + 0.008*""exchange"" + 0.006*""experience"" + 0.006*""loss"""
200604,10,"0.025*""growth"" + 0.012*""increase"" + 0.011*""return"" + 0.009*""however"" + 0.007*""addition"" + 0.007*""rise"" + 0.007*""fomc"" + 0.006*""target"" + 0.006*""scenario"" + 0.005*""continue"""
200604,11,"0.017*""also"" + 0.012*""future"" + 0.012*""well"" + 0.011*""many"" + 0.010*""deregulation"" + 0.009*""one"" + 0.008*""part"" + 0.007*""today"" + 0.007*""two"" + 0.007*""board"""
200604,12,"0.034*""market"" + 0.018*""economy"" + 0.014*""new"" + 0.014*""recent"" + 0.012*""would"" + 0.011*""point"" + 0.010*""moderate"" + 0.010*""continued"" + 0.009*""quarter"" + 0.008*""reading"""
200604,13,"0.021*""federal"" + 0.015*""important"" + 0.008*""strong"" + 0.007*""see"" + 0.006*""could"" + 0.005*""effective"" + 0.005*""monetary"" + 0.005*""pp"" + 0.005*""compliancerisk"" + 0.005*""condition"""
200604,14,"0.031*""financial"" + 0.012*""time"" + 0.010*""u"" + 0.010*""reserve"" + 0.009*""share"" + 0.008*""make"" + 0.008*""appears"" + 0.006*""roughly"" + 0.006*""must"" + 0.006*""reconstruction"""
200605,0,"0.035*""bank"" + 0.020*""strategy"" + 0.009*""statistical"" + 0.008*""social"" + 0.007*""requires"" + 0.007*""larger"" + 0.007*""compliancerisk"" + 0.006*""previously"" + 0.006*""hard"" + 0.006*""action"""
200605,1,"0.042*""market"" + 0.013*""level"" + 0.013*""important"" + 0.009*""increased"" + 0.009*""regulatory"" + 0.009*""credit"" + 0.008*""successful"" + 0.007*""sharing"" + 0.007*""share"" + 0.007*""sound"""
200605,2,"0.013*""able"" + 0.010*""year"" + 0.010*""strong"" + 0.008*""potential"" + 0.008*""key"" + 0.007*""home"" + 0.007*""move"" + 0.006*""require"" + 0.006*""element"" + 0.006*""could"""
200605,3,"0.024*""federal"" + 0.013*""many"" + 0.010*""line"" + 0.010*""participant"" + 0.009*""washington"" + 0.009*""challenge"" + 0.008*""return"" + 0.008*""effort"" + 0.008*""address"" + 0.007*""create"""
200605,4,"0.030*""neighborhood"" + 0.020*""work"" + 0.012*""agency"" + 0.011*""trust"" + 0.011*""institution"" + 0.007*""check"" + 0.007*""commitment"" + 0.006*""end"" + 0.006*""approach"" + 0.006*""include"""
200605,5,"0.034*""community"" + 0.021*""payment"" + 0.015*""price"" + 0.011*""framework"" + 0.010*""policy"" + 0.010*""continue"" + 0.009*""effect"" + 0.009*""process"" + 0.007*""supervisor"" + 0.007*""give"""
200605,6,"0.057*""risk"" + 0.031*""financial"" + 0.013*""u"" + 0.013*""data"" + 0.012*""product"" + 0.009*""course"" + 0.008*""opportunity"" + 0.008*""service"" + 0.007*""large"" + 0.006*""although"""
200605,7,"0.026*""compliance"" + 0.020*""also"" + 0.019*""basel"" + 0.017*""investment"" + 0.011*""industry"" + 0.011*""statistic"" + 0.007*""dc"" + 0.006*""provide"" + 0.006*""effective"" + 0.006*""sector"""
200605,8,"0.043*""development"" + 0.027*""capital"" + 0.015*""result"" + 0.011*""way"" + 0.010*""issue"" + 0.010*""foundation"" + 0.009*""tonight"" + 0.009*""cost"" + 0.008*""time"" + 0.007*""vision"""
200605,9,"0.029*""economic"" + 0.020*""would"" + 0.017*""economy"" + 0.017*""activity"" + 0.014*""innovation"" + 0.013*""may"" + 0.011*""fund"" + 0.007*""within"" + 0.006*""healthy"" + 0.006*""necessary"""
200605,10,"0.017*""need"" + 0.016*""information"" + 0.010*""quality"" + 0.010*""government"" + 0.009*""individual"" + 0.008*""however"" + 0.008*""local"" + 0.007*""program"" + 0.006*""become"" + 0.006*""corporation"""
200605,11,"0.008*""example"" + 0.007*""indeed"" + 0.007*""difficult"" + 0.007*""use"" + 0.007*""governor"" + 0.006*""loss"" + 0.006*""city"" + 0.006*""make"" + 0.006*""became"" + 0.006*""electronic"""
200605,12,"0.021*""organization"" + 0.016*""banking"" + 0.014*""change"" + 0.010*""always"" + 0.010*""public"" + 0.008*""revitalization"" + 0.007*""must"" + 0.007*""well"" + 0.007*""taking"" + 0.006*""sufficient"""
200605,13,"0.035*""business"" + 0.026*""new"" + 0.022*""reserve"" + 0.022*""management"" + 0.017*""housing"" + 0.015*""private"" + 0.012*""project"" + 0.012*""board"" + 0.007*""complex"" + 0.007*""together"""
200605,14,"0.027*""system"" + 0.019*""gentrification"" + 0.013*""ii"" + 0.011*""crisis"" + 0.010*""affordable"" + 0.010*""developed"" + 0.010*""complicated"" + 0.008*""control"" + 0.008*""good"" + 0.007*""bureau"""
200606,0,"0.045*""market"" + 0.017*""yield"" + 0.015*""factor"" + 0.015*""recent"" + 0.012*""understand"" + 0.009*""longterm"" + 0.009*""role"" + 0.008*""including"" + 0.007*""lower"" + 0.007*""model"""
200606,1,"0.037*""price"" + 0.015*""development"" + 0.013*""change"" + 0.012*""government"" + 0.012*""well"" + 0.011*""see"" + 0.009*""le"" + 0.009*""time"" + 0.008*""product"" + 0.007*""today"""
200606,2,"0.055*""inflation"" + 0.043*""compliance"" + 0.014*""example"" + 0.013*""global"" + 0.013*""effect"" + 0.011*""emerging"" + 0.011*""information"" + 0.007*""import"" + 0.006*""good"" + 0.006*""concentration"""
200606,3,"0.027*""year"" + 0.018*""data"" + 0.018*""examination"" + 0.016*""lending"" + 0.011*""credit"" + 0.009*""important"" + 0.009*""increased"" + 0.008*""appropriate"" + 0.007*""point"" + 0.006*""better"""
200606,4,"0.018*""many"" + 0.014*""board"" + 0.013*""loan"" + 0.012*""system"" + 0.011*""activity"" + 0.011*""area"" + 0.010*""responsibility"" + 0.009*""banker"" + 0.009*""united"" + 0.008*""capital"""
200606,5,"0.011*""process"" + 0.009*""cre"" + 0.009*""monitoring"" + 0.009*""monetary"" + 0.007*""local"" + 0.007*""effective"" + 0.007*""generally"" + 0.006*""demand"" + 0.006*""understanding"" + 0.005*""related"""
200606,6,"0.027*""policy"" + 0.017*""central"" + 0.016*""whether"" + 0.014*""institution"" + 0.013*""return"" + 0.013*""currency"" + 0.012*""cost"" + 0.009*""help"" + 0.009*""innovation"" + 0.009*""one"""
200606,7,"0.059*""risk"" + 0.019*""level"" + 0.014*""growth"" + 0.012*""procedure"" + 0.012*""business"" + 0.009*""since"" + 0.007*""supervisory"" + 0.007*""benefit"" + 0.007*""brazil"" + 0.006*""want"""
200606,8,"0.030*""examiner"" + 0.017*""country"" + 0.017*""look"" + 0.013*""economic"" + 0.013*""bond"" + 0.012*""real"" + 0.008*""ability"" + 0.007*""thus"" + 0.007*""energy"" + 0.007*""forward"""
200606,9,"0.024*""federal"" + 0.016*""u"" + 0.009*""world"" + 0.009*""stability"" + 0.009*""competition"" + 0.008*""standard"" + 0.008*""testing"" + 0.008*""ensure"" + 0.007*""public"" + 0.007*""associated"""
200606,10,"0.050*""organization"" + 0.048*""bank"" + 0.013*""compliancerisk"" + 0.009*""guidance"" + 0.009*""senior"" + 0.008*""pressure"" + 0.007*""stable"" + 0.007*""last"" + 0.005*""given"" + 0.005*""nominal"""
200606,11,"0.031*""financial"" + 0.020*""control"" + 0.019*""may"" + 0.016*""percent"" + 0.012*""new"" + 0.012*""economy"" + 0.007*""particularly"" + 0.006*""mexico"" + 0.006*""measure"" + 0.006*""curve"""
200606,12,"0.038*""management"" + 0.030*""also"" + 0.024*""banking"" + 0.011*""past"" + 0.011*""would"" + 0.009*""interest"" + 0.007*""line"" + 0.006*""continue"" + 0.006*""transaction"" + 0.005*""asset"""
200606,13,"0.031*""rate"" + 0.023*""reserve"" + 0.019*""low"" + 0.012*""text"" + 0.011*""assessment"" + 0.009*""state"" + 0.007*""even"" + 0.007*""focus"" + 0.007*""saving"" + 0.006*""around"""
200606,14,"0.021*""program"" + 0.016*""increase"" + 0.012*""globalization"" + 0.010*""mortgage"" + 0.009*""hmda"" + 0.008*""oil"" + 0.008*""make"" + 0.008*""consumer"" + 0.008*""review"" + 0.007*""higher"""
200608,0,"0.016*""investment"" + 0.012*""national"" + 0.011*""percent"" + 0.007*""country"" + 0.006*""use"" + 0.005*""technological"" + 0.005*""european"" + 0.005*""time"" + 0.004*""indeed"" + 0.004*""potential"""
200608,1,"0.018*""pp"" + 0.016*""capital"" + 0.015*""research"" + 0.009*""reserve"" + 0.008*""jorgenson"" + 0.008*""july"" + 0.008*""washington"" + 0.007*""study"" + 0.005*""management"" + 0.005*""range"""
200608,2,"0.014*""stiroh"" + 0.009*""labor"" + 0.009*""chicago"" + 0.007*""activity"" + 0.007*""past"" + 0.006*""today"" + 0.006*""important"" + 0.005*""lengermann"" + 0.004*""issue"" + 0.004*""historical"""
200608,3,"0.041*""growth"" + 0.022*""new"" + 0.021*""paper"" + 0.011*""year"" + 0.011*""sector"" + 0.009*""output"" + 0.009*""europe"" + 0.006*""century"" + 0.005*""figure"" + 0.004*""distance"""
200608,4,"0.038*""economic"" + 0.013*""industry"" + 0.010*""change"" + 0.007*""unpublished"" + 0.007*""john"" + 0.006*""much"" + 0.006*""increase"" + 0.006*""also"" + 0.005*""product"" + 0.005*""bloom"""
200608,5,"0.015*""information"" + 0.012*""recent"" + 0.010*""integration"" + 0.009*""economy"" + 0.007*""cambridge"" + 0.006*""ho"" + 0.006*""rate"" + 0.006*""good"" + 0.005*""finance"" + 0.004*""power"""
200608,6,"0.012*""trade"" + 0.012*""international"" + 0.010*""kevin"" + 0.008*""practice"" + 0.007*""discussion"" + 0.007*""income"" + 0.005*""worker"" + 0.005*""system"" + 0.005*""factor"" + 0.004*""found"""
200608,7,"0.019*""united"" + 0.016*""return"" + 0.013*""vol"" + 0.010*""robert"" + 0.009*""intangible"" + 0.008*""kb"" + 0.006*""see"" + 0.006*""level"" + 0.006*""mass"" + 0.005*""difference"""
200608,8,"0.017*""text"" + 0.010*""economics"" + 0.009*""trend"" + 0.008*""one"" + 0.008*""university"" + 0.008*""current"" + 0.007*""board"" + 0.006*""york"" + 0.006*""second"" + 0.005*""held"""
200608,9,"0.083*""productivity"" + 0.009*""gordon"" + 0.008*""pdf"" + 0.007*""corrado"" + 0.007*""van"" + 0.006*""however"" + 0.006*""centre"" + 0.005*""sichel"" + 0.004*""competition"" + 0.004*""working"""
200608,10,"0.014*""global"" + 0.009*""institute"" + 0.009*""federal"" + 0.008*""mckinsey"" + 0.007*""per"" + 0.006*""wealth"" + 0.006*""part"" + 0.006*""perspective"" + 0.006*""press"" + 0.006*""market"""
200608,11,"0.016*""state"" + 0.012*""development"" + 0.011*""firm"" + 0.010*""example"" + 0.006*""dale"" + 0.005*""implication"" + 0.005*""basu"" + 0.005*""series"" + 0.005*""put"" + 0.005*""source"""
200608,12,"0.032*""u"" + 0.008*""may"" + 0.006*""august"" + 0.006*""measure"" + 0.006*""increased"" + 0.005*""resurgence"" + 0.005*""way"" + 0.005*""decade"" + 0.005*""gain"" + 0.005*""multinationals"""
200608,13,"0.008*""bureau"" + 0.007*""company"" + 0.005*""performance"" + 0.005*""nonfarm"" + 0.005*""accelerated"" + 0.004*""groningen"" + 0.004*""journal"" + 0.004*""summer"" + 0.004*""cause"" + 0.004*""result"""
200608,14,"0.024*""technology"" + 0.013*""business"" + 0.008*""j"" + 0.007*""production"" + 0.006*""cost"" + 0.005*""sadun"" + 0.005*""world"" + 0.004*""communication"" + 0.004*""multifactor"" + 0.004*""improvement"""
200609,0,"0.021*""reserve"" + 0.007*""retail"" + 0.007*""many"" + 0.007*""innovation"" + 0.006*""ach"" + 0.006*""board"" + 0.006*""effect"" + 0.005*""close"" + 0.005*""continue"" + 0.005*""processing"""
200609,1,"0.017*""economy"" + 0.012*""paper"" + 0.010*""process"" + 0.010*""new"" + 0.008*""research"" + 0.007*""part"" + 0.006*""perspective"" + 0.005*""term"" + 0.005*""country"" + 0.005*""come"""
200609,2,"0.019*""rate"" + 0.013*""per"" + 0.013*""change"" + 0.009*""vol"" + 0.008*""also"" + 0.007*""kroszner"" + 0.007*""use"" + 0.006*""capital"" + 0.005*""take"" + 0.005*""saving"""
200609,3,"0.012*""compensation"" + 0.011*""share"" + 0.011*""increase"" + 0.009*""income"" + 0.007*""important"" + 0.007*""development"" + 0.007*""economics"" + 0.007*""national"" + 0.006*""recent"" + 0.005*""point"""
200609,4,"0.041*""growth"" + 0.020*""payment"" + 0.011*""service"" + 0.008*""percent"" + 0.005*""demand"" + 0.005*""monetary"" + 0.004*""slifman"" + 0.004*""better"" + 0.003*""equal"" + 0.003*""flexibility"""
200609,5,"0.013*""united"" + 0.013*""state"" + 0.012*""firm"" + 0.010*""electronic"" + 0.005*""chicago"" + 0.005*""open"" + 0.004*""made"" + 0.004*""today"" + 0.004*""school"" + 0.004*""let"""
200609,6,"0.009*""industry"" + 0.008*""year"" + 0.005*""likely"" + 0.004*""working"" + 0.004*""case"" + 0.004*""store"" + 0.004*""finance"" + 0.004*""supply"" + 0.003*""september"" + 0.003*""carol"""
200609,7,"0.018*""return"" + 0.017*""u"" + 0.007*""j"" + 0.007*""number"" + 0.007*""washington"" + 0.007*""example"" + 0.006*""robert"" + 0.006*""first"" + 0.005*""long"" + 0.005*""future"""
200609,8,"0.015*""real"" + 0.015*""system"" + 0.011*""pp"" + 0.008*""past"" + 0.008*""would"" + 0.007*""one"" + 0.005*""whether"" + 0.005*""frbus"" + 0.005*""institute"" + 0.005*""suggest"""
200609,9,"0.018*""labor"" + 0.008*""time"" + 0.005*""nation"" + 0.005*""gordon"" + 0.004*""pdf"" + 0.004*""trend"" + 0.004*""small"" + 0.004*""else"" + 0.004*""macroeconomic"" + 0.003*""financial"""
200609,10,"0.034*""check"" + 0.014*""business"" + 0.014*""hour"" + 0.010*""technology"" + 0.006*""corrado"" + 0.006*""multifactor"" + 0.005*""policy"" + 0.004*""delivered"" + 0.003*""global"" + 0.003*""operation"""
200609,11,"0.016*""bank"" + 0.015*""text"" + 0.010*""market"" + 0.008*""information"" + 0.007*""flexible"" + 0.006*""resurgence"" + 0.005*""rise"" + 0.005*""shock"" + 0.005*""speech"" + 0.004*""data"""
200609,12,"0.017*""federal"" + 0.008*""level"" + 0.007*""investment"" + 0.007*""inflation"" + 0.005*""since"" + 0.005*""performance"" + 0.005*""worker"" + 0.005*""could"" + 0.004*""oecd"" + 0.004*""see"""
200609,13,"0.065*""productivity"" + 0.025*""economic"" + 0.008*""sector"" + 0.006*""faster"" + 0.005*""production"" + 0.005*""study"" + 0.005*""bureau"" + 0.004*""implication"" + 0.004*""result"" + 0.004*""york"""
200609,14,"0.009*""role"" + 0.008*""may"" + 0.006*""aggregate"" + 0.005*""product"" + 0.005*""estimate"" + 0.005*""activity"" + 0.004*""drop"" + 0.004*""stiroh"" + 0.004*""governor"" + 0.004*""domestic"""
200610,0,"0.033*""capital"" + 0.019*""globalization"" + 0.014*""rich"" + 0.006*""need"" + 0.006*""poor"" + 0.006*""world"" + 0.006*""state"" + 0.005*""loss"" + 0.005*""opening"" + 0.004*""far"""
200610,1,"0.034*""country"" + 0.026*""market"" + 0.015*""banking"" + 0.013*""federal"" + 0.010*""consumer"" + 0.009*""recent"" + 0.008*""must"" + 0.008*""important"" + 0.007*""effect"" + 0.005*""increased"""
200610,2,"0.012*""business"" + 0.010*""loan"" + 0.009*""compliance"" + 0.009*""interest"" + 0.008*""control"" + 0.008*""home"" + 0.006*""change"" + 0.006*""le"" + 0.005*""particularly"" + 0.005*""book"""
200610,3,"0.010*""help"" + 0.008*""credit"" + 0.007*""ii"" + 0.007*""right"" + 0.007*""mortgage"" + 0.006*""past"" + 0.006*""advanced"" + 0.006*""way"" + 0.006*""trade"" + 0.005*""pressure"""
200610,4,"0.044*""risk"" + 0.017*""management"" + 0.016*""organization"" + 0.015*""also"" + 0.009*""government"" + 0.007*""supervisor"" + 0.007*""make"" + 0.007*""process"" + 0.007*""sector"" + 0.005*""product"""
200610,5,"0.012*""developing"" + 0.011*""u"" + 0.008*""future"" + 0.008*""today"" + 0.007*""generation"" + 0.007*""household"" + 0.007*""per"" + 0.007*""energy"" + 0.005*""relative"" + 0.005*""share"""
200610,6,"0.047*""financial"" + 0.014*""good"" + 0.011*""may"" + 0.007*""act"" + 0.006*""real"" + 0.006*""since"" + 0.005*""especially"" + 0.005*""aging"" + 0.005*""portfolio"" + 0.004*""small"""
200610,7,"0.009*""well"" + 0.009*""investment"" + 0.006*""emergingmarket"" + 0.005*""monetary"" + 0.005*""worker"" + 0.005*""provide"" + 0.005*""requirement"" + 0.004*""approach"" + 0.004*""want"" + 0.004*""data"""
200610,8,"0.017*""rate"" + 0.016*""inflation"" + 0.014*""growth"" + 0.012*""increase"" + 0.012*""policy"" + 0.010*""current"" + 0.009*""new"" + 0.007*""income"" + 0.006*""part"" + 0.006*""area"""
200610,9,"0.025*""institution"" + 0.019*""economy"" + 0.010*""work"" + 0.010*""benefit"" + 0.010*""much"" + 0.008*""issue"" + 0.007*""information"" + 0.006*""rule"" + 0.006*""second"" + 0.006*""framework"""
200610,10,"0.024*""bank"" + 0.014*""development"" + 0.010*""often"" + 0.009*""time"" + 0.009*""even"" + 0.008*""agency"" + 0.008*""regulatory"" + 0.008*""international"" + 0.007*""potential"" + 0.005*""promote"""
200610,11,"0.017*""would"" + 0.012*""housing"" + 0.008*""property"" + 0.008*""although"" + 0.007*""burden"" + 0.006*""first"" + 0.005*""concern"" + 0.004*""addition"" + 0.004*""thus"" + 0.003*""given"""
200610,12,"0.019*""price"" + 0.018*""economic"" + 0.012*""many"" + 0.009*""percent"" + 0.008*""foreign"" + 0.007*""saving"" + 0.006*""cre"" + 0.006*""population"" + 0.005*""spending"" + 0.004*""view"""
200610,13,"0.014*""system"" + 0.013*""reserve"" + 0.012*""one"" + 0.011*""flow"" + 0.009*""level"" + 0.009*""banker"" + 0.007*""could"" + 0.006*""however"" + 0.005*""regulation"" + 0.005*""indeed"""
200610,14,"0.021*""year"" + 0.017*""cost"" + 0.011*""activity"" + 0.010*""basel"" + 0.010*""example"" + 0.009*""service"" + 0.006*""united"" + 0.006*""better"" + 0.006*""high"" + 0.006*""core"""
200611,0,"0.033*""public"" + 0.028*""asked"" + 0.007*""labor"" + 0.006*""force"" + 0.006*""payment"" + 0.006*""expected"" + 0.006*""le"" + 0.005*""debt"" + 0.005*""benefit"" + 0.005*""today"""
200611,1,"0.038*""banking"" + 0.031*""staff"" + 0.008*""important"" + 0.007*""state"" + 0.007*""past"" + 0.006*""asset"" + 0.005*""consumer"" + 0.005*""fomc"" + 0.005*""decade"" + 0.004*""work"""
200611,2,"0.036*""discipline"" + 0.031*""federal"" + 0.024*""policy"" + 0.017*""growth"" + 0.010*""system"" + 0.009*""institution"" + 0.009*""time"" + 0.008*""future"" + 0.008*""data"" + 0.007*""investor"""
